Province,Gender,Occupation,Employment
Ontario,Total,9 Occupations in manufacturing and utilities,405660
Ontario,Male,9 Occupations in manufacturing and utilities,273785
Ontario,Female,9 Occupations in manufacturing and utilities,131870
Manitoba,Total,9 Occupations in manufacturing and utilities,36865
Manitoba,Male,9 Occupations in manufacturing and utilities,27030
Manitoba,Female,9 Occupations in manufacturing and utilities,9835
Saskatchewan,Total,9 Occupations in manufacturing and utilities,20580
Saskatchewan,Male,9 Occupations in manufacturing and utilities,16955
Saskatchewan,Female,9 Occupations in manufacturing and utilities,3630
Alberta,Total,9 Occupations in manufacturing and utilities,90130
Alberta,Male,9 Occupations in manufacturing and utilities,70930
Alberta,Female,9 Occupations in manufacturing and utilities,19200
British Columbia,Total,9 Occupations in manufacturing and utilities,96625
British Columbia,Male,9 Occupations in manufacturing and utilities,68625
British Columbia,Female,9 Occupations in manufacturing and utilities,28000
Yukon,Total,9 Occupations in manufacturing and utilities,450
Yukon,Male,9 Occupations in manufacturing and utilities,355
Yukon,Female,9 Occupations in manufacturing and utilities,90
Northwest Territories,Total,9 Occupations in manufacturing and utilities,460
Northwest Territories,Male,9 Occupations in manufacturing and utilities,390
